time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180113:2000,9.98,85.0,0.0,-0.0,0.0,287.0,3.1,258.0,98727.0
20180113:2100,9.71,83.0,0.0,-0.0,0.0,285.4,2.83,263.0,98708.0
20180113:2200,9.3,82.0,0.0,-0.0,0.0,280.6,2.48,272.0,98766.0
20180113:2300,8.52,82.75,0.0,-0.0,0.0,276.0,2.21,285.0,98766.0
20180114:0000,7.61,83.7,0.0,-0.0,0.0,273.2,2.14,293.0,98747.0
20180114:0100,7.11,84.1,0.0,-0.0,0.0,270.2,2.14,298.0,98717.0
20180114:0200,6.46,83.9,0.0,-0.0,0.0,266.2,2.07,299.0,98708.0
20180114:0300,6.05,83.15,0.0,-0.0,0.0,266.6,2.07,299.0,98717.0
20180114:0400,5.71,82.3,0.0,-0.0,0.0,265.4,2.14,298.0,98698.0
20180114:0500,5.52,81.2,0.0,-0.0,0.0,266.8,2.14,299.0,98698.0
20180114:0600,5.54,79.1,0.0,-0.0,0.0,261.6,2.0,303.0,98698.0
20180114:0700,6.36,76.55,0.0,-0.0,0.0,262.4,1.72,308.0,98708.0
20180114:0800,6.36,76.1,36.0,0.0,36.0,260.0,1.66,313.0,98747.0
20180114:0900,8.69,68.45,271.0,727.05,61.0,262.6,1.17,310.0,98785.0
20180114:1000,11.15,54.7,164.0,9.69,160.0,268.4,0.62,242.0,98814.0
20180114:1100,12.07,52.8,444.0,534.92,180.0,279.2,1.72,201.0,98795.0
20180114:1200,12.4,55.45,209.0,7.61,205.0,300.6,2.34,205.0,98708.0
20180114:1300,12.08,59.25,184.0,3.94,182.0,326.0,2.9,220.0,98621.0
20180114:1400,11.46,65.55,212.0,36.4,196.0,331.8,2.76,224.0,98572.0
20180114:1500,10.86,70.3,129.0,12.24,125.0,330.4,2.62,227.0,98572.0
20180114:1600,10.36,74.4,56.0,5.65,55.0,330.0,2.34,231.0,98533.0
20180114:1700,9.82,77.95,0.0,0.0,0.0,330.2,1.93,244.0,98572.0
20180114:1800,9.48,76.1,0.0,-0.0,0.0,321.0,1.52,265.0,98601.0
20180114:1900,9.04,90.15,0.0,-0.0,0.0,320.8,0.55,289.0,98640.0
20180114:2000,8.76,88.35,0.0,-0.0,0.0,315.2,0.48,332.0,98669.0
20180114:2100,8.13,91.35,0.0,-0.0,0.0,311.4,0.9,354.0,98747.0
20180114:2200,7.52,93.2,0.0,-0.0,0.0,311.6,1.24,11.0,98814.0
20180114:2300,6.9,93.45,0.0,-0.0,0.0,312.4,1.38,13.0,98843.0
20180115:0000,6.39,93.35,0.0,-0.0,0.0,307.0,1.59,20.0,98872.0
20180115:0100,5.64,93.25,0.0,-0.0,0.0,291.2,1.79,25.0,98853.0
20180115:0200,5.14,92.95,0.0,-0.0,0.0,290.8,1.86,20.0,98863.0
20180115:0300,4.45,92.5,0.0,-0.0,0.0,277.4,1.86,12.0,98872.0
20180115:0400,3.87,91.95,0.0,-0.0,0.0,270.4,2.0,9.0,98921.0
20180115:0500,3.38,90.9,0.0,-0.0,0.0,263.8,2.14,7.0,98921.0
20180115:0600,3.54,90.2,0.0,-0.0,0.0,281.6,2.14,8.0,98989.0
20180115:0700,3.23,88.55,0.0,-0.0,0.0,265.2,1.93,7.0,99037.0
20180115:0800,3.7,88.7,37.0,0.0,37.0,279.8,1.93,10.0,99144.0
20180115:0900,6.44,81.35,281.0,785.2,53.0,287.2,1.86,21.0,99212.0
20180115:1000,9.32,63.7,427.0,870.71,66.0,282.0,1.93,34.0,99347.0
20180115:1100,10.41,60.1,523.0,903.55,75.0,277.2,2.07,43.0,99405.0
20180115:1200,11.42,57.0,559.0,902.58,82.0,291.0,2.62,49.0,99347.0
20180115:1300,12.05,52.85,516.0,779.82,118.0,287.4,2.76,60.0,99318.0
20180115:1400,12.54,49.95,450.0,822.2,86.0,318.4,2.76,66.0,99308.0
20180115:1500,12.67,48.1,319.0,760.31,68.0,323.4,2.76,69.0,99299.0
20180115:1600,12.45,50.2,140.0,449.31,59.0,333.8,2.76,82.0,99405.0
20180115:1700,11.54,60.15,0.0,0.0,0.0,299.6,2.34,95.0,99444.0
20180115:1800,10.27,74.7,0.0,-0.0,0.0,270.0,1.52,87.0,99541.0
20180115:1900,10.33,67.2,0.0,-0.0,0.0,275.0,0.07,186.0,99628.0
20180115:2000,9.94,69.45,0.0,-0.0,0.0,272.2,0.55,304.0,99696.0
20180115:2100,9.24,72.5,0.0,-0.0,0.0,268.6,1.03,307.0,99774.0
20180115:2200,7.84,78.0,0.0,-0.0,0.0,261.4,1.38,297.0,99841.0
20180115:2300,6.38,82.75,0.0,-0.0,0.0,262.2,1.66,298.0,99861.0
20180116:0000,5.46,84.85,0.0,-0.0,0.0,259.0,1.86,294.0,99841.0
20180116:0100,4.47,85.6,0.0,-0.0,0.0,257.8,2.07,291.0,99783.0
20180116:0200,4.03,85.15,0.0,-0.0,0.0,256.6,2.28,291.0,99735.0
20180116:0300,3.8,84.0,0.0,-0.0,0.0,256.0,2.34,293.0,99696.0
20180116:0400,3.71,83.0,0.0,-0.0,0.0,263.2,2.34,292.0,99686.0
20180116:0500,3.48,81.65,0.0,-0.0,0.0,255.6,2.48,290.0,99648.0
20180116:0600,3.34,80.75,0.0,-0.0,0.0,255.0,2.55,290.0,99696.0
20180116:0700,3.78,73.6,0.0,-0.0,0.0,255.4,2.48,279.0,99706.0
20180116:0800,3.87,75.15,37.0,0.0,37.0,255.6,2.55,279.0,99744.0
20180116:0900,6.99,68.55,276.0,726.0,64.0,258.0,2.48,271.0,99774.0
20180116:1000,11.46,50.3,420.0,820.88,78.0,263.4,2.69,253.0,99832.0
20180116:1100,13.63,42.2,518.0,867.1,86.0,269.4,3.24,238.0,99812.0
20180116:1200,14.77,42.1,554.0,865.95,94.0,273.6,3.52,230.0,99696.0
20180116:1300,15.46,42.9,538.0,888.25,82.0,277.2,3.59,225.0,99589.0
20180116:1400,15.73,44.4,454.0,834.26,82.0,279.6,3.72,222.0,99454.0
20180116:1500,15.37,48.6,326.0,800.81,59.0,281.8,3.72,220.0,99415.0
20180116:1600,14.57,54.45,159.0,659.17,38.0,281.0,3.31,225.0,99367.0
20180116:1700,13.5,61.35,0.0,0.0,0.0,278.8,2.83,235.0,99367.0
20180116:1800,12.5,67.7,0.0,-0.0,0.0,276.0,2.55,251.0,99347.0
20180116:1900,11.44,70.7,0.0,-0.0,0.0,275.8,2.69,254.0,99347.0
20180116:2000,10.55,71.1,0.0,-0.0,0.0,275.6,2.55,266.0,99357.0
20180116:2100,9.75,71.7,0.0,-0.0,0.0,275.2,2.48,272.0,99347.0
20180116:2200,8.92,73.5,0.0,-0.0,0.0,275.0,2.48,274.0,99367.0
20180116:2300,8.09,76.05,0.0,-0.0,0.0,274.4,2.55,279.0,99357.0
20180117:0000,7.32,78.7,0.0,-0.0,0.0,273.4,2.55,283.0,99299.0
20180117:0100,6.63,81.7,0.0,-0.0,0.0,272.6,2.69,289.0,99231.0
20180117:0200,6.2,84.05,0.0,-0.0,0.0,272.4,2.62,294.0,99153.0
20180117:0300,5.82,86.25,0.0,-0.0,0.0,271.6,2.55,295.0,99105.0
20180117:0400,5.52,87.45,0.0,-0.0,0.0,271.0,2.55,296.0,99037.0
20180117:0500,5.26,88.4,0.0,-0.0,0.0,270.6,2.48,298.0,99018.0
20180117:0600,5.04,89.35,0.0,-0.0,0.0,270.0,2.34,301.0,99018.0
20180117:0700,5.4,85.95,0.0,-0.0,0.0,267.8,2.41,293.0,99008.0
20180117:0800,5.57,86.15,36.0,0.0,36.0,267.4,2.28,297.0,99018.0
20180117:0900,9.03,78.0,280.0,738.71,63.0,269.4,1.86,296.0,99047.0
20180117:1000,13.82,69.8,429.0,847.75,74.0,275.2,0.83,292.0,99163.0
20180117:1100,16.47,48.1,525.0,876.76,86.0,282.4,0.9,135.0,99163.0
20180117:1200,16.75,50.4,559.0,859.51,100.0,287.6,1.66,138.0,99095.0
20180117:1300,16.76,54.45,540.0,867.46,92.0,289.6,1.79,139.0,98998.0
20180117:1400,16.65,57.85,459.0,830.43,86.0,291.8,1.79,134.0,98960.0
20180117:1500,16.21,61.7,330.0,783.93,66.0,290.4,1.79,124.0,98940.0
20180117:1600,15.49,65.45,160.0,620.63,44.0,291.2,1.59,105.0,98931.0
20180117:1700,14.63,69.05,0.0,0.0,0.0,289.4,1.38,76.0,98960.0
20180117:1800,13.77,72.85,0.0,-0.0,0.0,280.0,1.86,44.0,98989.0
20180117:1900,12.57,85.0,0.0,-0.0,0.0,279.0,2.0,32.0,99008.0
20180117:2000,11.6,82.9,0.0,-0.0,0.0,278.6,2.07,34.0,99027.0
20180117:2100,10.99,79.5,0.0,-0.0,0.0,277.6,2.21,35.0,99057.0
20180117:2200,10.32,77.25,0.0,-0.0,0.0,276.8,2.41,38.0,99095.0
20180117:2300,9.81,75.6,0.0,-0.0,0.0,275.6,3.03,42.0,99086.0
20180118:0000,9.66,73.45,0.0,-0.0,0.0,275.0,3.59,43.0,99086.0
20180118:0100,9.4,73.1,0.0,-0.0,0.0,274.2,4.0,40.0,99086.0
20180118:0200,9.12,75.75,0.0,-0.0,0.0,274.8,4.14,36.0,99095.0
20180118:0300,8.9,80.8,0.0,-0.0,0.0,279.8,4.21,35.0,99066.0
20180118:0400,8.62,86.15,0.0,-0.0,0.0,280.8,3.93,32.0,99095.0
20180118:0500,8.43,89.0,0.0,-0.0,0.0,291.8,3.66,28.0,99086.0
20180118:0600,8.34,89.85,0.0,-0.0,0.0,300.0,3.66,26.0,99095.0
20180118:0700,8.71,89.7,0.0,-0.0,0.0,312.2,4.07,29.0,99095.0
20180118:0800,8.73,88.5,38.0,0.0,38.0,303.2,4.0,25.0,99095.0
20180118:0900,10.06,78.75,278.0,707.02,69.0,300.8,3.93,22.0,99134.0
20180118:1000,12.36,60.2,432.0,859.89,70.0,276.6,4.21,28.0,99124.0
20180118:1100,14.07,50.5,529.0,890.13,81.0,276.8,4.69,40.0,99076.0
20180118:1200,15.09,46.65,572.0,923.76,76.0,279.0,4.97,46.0,98998.0
20180118:1300,15.69,44.7,554.0,931.47,70.0,291.0,4.9,50.0,98902.0
20180118:1400,15.75,44.75,423.0,614.36,145.0,309.4,4.69,58.0,98843.0
20180118:1500,15.18,47.7,147.0,23.52,139.0,311.6,4.55,64.0,98814.0
20180118:1600,14.24,52.7,73.0,21.02,69.0,317.4,4.21,54.0,98795.0
20180118:1700,13.35,57.3,0.0,0.0,0.0,320.4,3.93,45.0,98776.0
20180118:1800,12.55,62.45,0.0,-0.0,0.0,319.8,3.38,48.0,98805.0
20180118:1900,11.72,69.6,0.0,-0.0,0.0,312.4,3.24,42.0,98756.0
20180118:2000,11.22,73.1,0.0,-0.0,0.0,319.4,3.1,43.0,98717.0
20180118:2100,10.93,74.35,0.0,-0.0,0.0,323.4,3.24,36.0,98708.0
20180118:2200,10.73,75.4,0.0,-0.0,0.0,327.8,3.03,35.0,98688.0
20180118:2300,10.48,75.9,0.0,-0.0,0.0,326.0,2.83,24.0,98698.0
20180119:0000,10.13,77.25,0.0,-0.0,0.0,324.0,2.48,21.0,98630.0
20180119:0100,9.98,81.5,0.0,-0.0,0.0,332.25,1.72,22.0,98572.0
20180119:0200,10.2,80.3,0.0,-0.0,0.0,336.0,1.03,28.0,98524.0
20180119:0300,10.98,74.3,0.0,-0.0,0.0,337.4,0.48,5.0,98533.0
20180119:0400,10.96,74.45,0.0,-0.0,0.0,337.8,0.48,319.0,98514.0
20180119:0500,10.97,73.3,0.0,-0.0,0.0,335.0,0.76,343.0,98553.0
20180119:0600,10.04,79.45,0.0,-0.0,0.0,334.2,1.17,6.0,98601.0
20180119:0700,10.16,74.95,0.0,-0.0,0.0,337.6,1.86,7.0,98640.0
20180119:0800,10.54,73.0,54.0,0.0,54.0,337.8,1.31,27.0,98708.0
20180119:0900,10.82,76.05,124.0,20.16,118.0,339.8,1.31,57.0,98805.0
20180119:1000,11.24,78.6,234.0,80.32,200.0,341.2,1.1,53.0,98892.0
20180119:1100,12.36,67.35,299.0,100.79,248.0,334.4,1.17,61.0,98902.0
20180119:1200,12.99,66.15,334.0,122.24,268.0,330.4,1.17,98.0,98824.0
20180119:1300,13.38,66.2,256.0,38.25,236.0,324.8,0.9,153.0,98776.0
20180119:1400,13.7,65.95,345.0,300.5,208.0,317.2,1.31,204.0,98766.0
20180119:1500,13.92,66.1,302.0,579.07,103.0,316.8,1.86,217.0,98785.0
20180119:1600,13.65,69.35,110.0,144.52,82.0,307.0,1.93,218.0,98805.0
20180119:1700,12.97,76.0,0.0,0.0,0.0,300.4,1.79,223.0,98872.0
20180119:1800,12.05,83.35,0.0,-0.0,0.0,285.6,1.79,246.0,98911.0
20180119:1900,11.67,87.05,0.0,-0.0,0.0,305.8,2.07,258.0,98979.0
20180119:2000,11.12,87.5,0.0,-0.0,0.0,304.4,2.07,268.0,99008.0
20180119:2100,10.38,87.45,0.0,-0.0,0.0,295.2,2.0,278.0,99066.0
20180119:2200,9.56,87.3,0.0,-0.0,0.0,289.2,2.0,286.0,99124.0
20180119:2300,8.82,86.8,0.0,-0.0,0.0,286.2,1.93,296.0,99153.0
20180120:0000,8.24,85.55,0.0,-0.0,0.0,278.8,1.93,301.0,99144.0
20180120:0100,8.08,83.85,0.0,-0.0,0.0,277.8,1.86,308.0,99124.0
20180120:0200,7.63,83.75,0.0,-0.0,0.0,273.6,1.93,318.0,99153.0
20180120:0300,7.15,84.35,0.0,-0.0,0.0,271.6,2.0,326.0,99144.0
20180120:0400,6.76,84.0,0.0,-0.0,0.0,271.2,2.14,330.0,99163.0
20180120:0500,6.46,83.3,0.0,-0.0,0.0,270.2,2.14,330.0,99173.0
20180120:0600,6.12,82.75,0.0,-0.0,0.0,268.6,2.28,329.0,99221.0
20180120:0700,5.82,82.45,0.0,-0.0,0.0,269.0,2.07,335.0,99289.0
20180120:0800,6.27,81.2,37.0,0.0,37.0,268.8,1.93,334.0,99367.0
20180120:0900,10.42,68.7,282.0,724.27,65.0,272.0,1.31,334.0,99425.0
20180120:1000,14.09,65.75,435.0,864.38,67.0,277.0,0.55,330.0,99512.0
20180120:1100,16.23,43.6,535.0,913.99,70.0,291.6,0.9,183.0,99512.0
20180120:1200,16.85,46.35,574.0,913.42,78.0,288.8,1.79,188.0,99444.0
20180120:1300,17.18,49.0,547.0,872.34,88.0,291.4,2.41,199.0,99396.0
20180120:1400,17.25,51.35,469.0,851.14,78.0,293.6,2.69,203.0,99308.0
20180120:1500,16.98,55.2,333.0,745.99,74.0,295.2,2.69,205.0,99289.0
20180120:1600,16.19,61.55,169.0,623.58,46.0,293.0,2.34,214.0,99308.0
20180120:1700,15.24,68.1,0.0,0.0,0.0,290.2,1.93,235.0,99279.0
20180120:1800,14.46,71.5,0.0,-0.0,0.0,285.4,2.0,263.0,99338.0
20180120:1900,13.26,75.4,0.0,-0.0,0.0,286.8,1.86,270.0,99347.0
20180120:2000,12.17,73.6,0.0,-0.0,0.0,285.0,1.93,281.0,99328.0
20180120:2100,11.41,70.75,0.0,-0.0,0.0,282.4,1.93,292.0,99347.0
20180120:2200,10.9,68.7,0.0,-0.0,0.0,284.8,1.86,304.0,99376.0
20180120:2300,10.2,68.4,0.0,-0.0,0.0,277.8,1.86,319.0,99376.0
20180121:0000,9.17,70.25,0.0,-0.0,0.0,275.6,2.0,330.0,99357.0
20180121:0100,8.05,73.4,0.0,-0.0,0.0,274.6,2.14,335.0,99318.0
20180121:0200,7.18,75.9,0.0,-0.0,0.0,272.8,2.28,339.0,99299.0
20180121:0300,6.67,77.35,0.0,-0.0,0.0,272.6,2.34,342.0,99289.0
20180121:0400,6.34,78.2,0.0,-0.0,0.0,272.6,2.34,343.0,99270.0
20180121:0500,6.12,78.8,0.0,-0.0,0.0,272.2,2.28,342.0,99260.0
20180121:0600,6.0,79.0,0.0,-0.0,0.0,272.0,2.21,341.0,99270.0
20180121:0700,6.14,77.4,0.0,-0.0,0.0,271.0,2.28,341.0,99318.0
20180121:0800,6.44,77.9,36.0,0.0,36.0,270.8,2.14,344.0,99376.0
20180121:0900,10.52,68.3,277.0,666.08,76.0,273.2,1.59,348.0,99454.0
20180121:1000,15.06,60.9,436.0,861.62,67.0,279.2,0.97,354.0,99483.0
20180121:1100,18.05,34.95,537.0,910.82,71.0,286.2,0.21,117.0,99502.0
20180121:1200,18.78,35.2,573.0,893.48,85.0,291.4,1.17,166.0,99444.0
20180121:1300,18.99,37.9,552.0,885.63,83.0,293.8,1.66,177.0,99357.0
20180121:1400,18.89,40.6,469.0,833.83,83.0,295.0,1.72,188.0,99270.0
20180121:1500,18.62,42.8,346.0,829.57,55.0,295.2,1.72,202.0,99270.0
20180121:1600,18.04,46.55,159.0,478.1,63.0,293.8,1.45,218.0,99250.0
20180121:1700,17.09,52.5,0.0,0.0,0.0,291.4,1.31,242.0,99270.0
20180121:1800,15.84,65.15,0.0,-0.0,0.0,288.2,1.52,275.0,99318.0
20180121:1900,14.66,65.75,0.0,-0.0,0.0,290.0,1.59,311.0,99367.0
20180121:2000,13.34,67.8,0.0,-0.0,0.0,289.6,1.72,320.0,99405.0
20180121:2100,11.69,74.1,0.0,-0.0,0.0,288.8,2.0,328.0,99434.0
20180121:2200,10.32,78.25,0.0,-0.0,0.0,288.2,2.21,335.0,99444.0
20180121:2300,9.51,80.25,0.0,-0.0,0.0,287.4,2.28,337.0,99473.0
20180122:0000,9.08,80.95,0.0,-0.0,0.0,286.2,2.14,337.0,99473.0
20180122:0100,8.81,81.55,0.0,-0.0,0.0,285.4,2.07,337.0,99454.0
20180122:0200,8.45,82.5,0.0,-0.0,0.0,284.4,2.07,335.0,99396.0
20180122:0300,8.05,83.55,0.0,-0.0,0.0,283.0,2.07,334.0,99405.0
20180122:0400,7.67,84.25,0.0,-0.0,0.0,282.2,2.14,334.0,99405.0
20180122:0500,7.36,84.6,0.0,-0.0,0.0,281.4,2.21,332.0,99376.0
20180122:0600,7.21,84.25,0.0,-0.0,0.0,281.0,2.21,330.0,99425.0
20180122:0700,7.5,80.65,0.0,-0.0,0.0,279.2,2.28,327.0,99405.0
20180122:0800,7.88,79.4,37.0,0.0,37.0,278.8,2.21,324.0,99444.0
20180122:0900,11.88,69.05,290.0,746.66,63.0,280.6,1.66,314.0,99463.0
20180122:1000,16.44,60.45,438.0,840.13,76.0,286.4,1.24,278.0,99512.0
20180122:1100,19.21,39.15,539.0,888.09,82.0,292.8,1.79,230.0,99493.0
20180122:1200,19.79,39.5,575.0,871.81,96.0,295.8,2.21,215.0,99386.0
20180122:1300,20.0,41.1,554.0,862.98,94.0,297.4,2.41,209.0,99308.0
20180122:1400,19.9,43.6,477.0,844.54,83.0,298.2,2.55,210.0,99250.0
20180122:1500,19.46,46.95,350.0,812.57,62.0,297.8,2.55,215.0,99231.0
20180122:1600,18.71,51.05,178.0,640.94,47.0,296.2,2.34,223.0,99212.0
20180122:1700,17.63,57.1,0.0,0.0,0.0,292.8,2.0,232.0,99221.0
20180122:1800,16.55,63.1,0.0,-0.0,0.0,289.8,2.07,253.0,99250.0
20180122:1900,15.37,68.6,0.0,-0.0,0.0,288.0,2.07,268.0,99270.0
20180122:2000,13.95,69.8,0.0,-0.0,0.0,287.4,2.21,278.0,99260.0
20180122:2100,12.59,71.65,0.0,-0.0,0.0,286.0,2.34,286.0,99260.0
20180122:2200,11.31,75.0,0.0,-0.0,0.0,285.0,2.41,293.0,99289.0
20180122:2300,10.16,80.0,0.0,-0.0,0.0,284.2,2.41,298.0,99299.0
20180123:0000,9.24,84.55,0.0,-0.0,0.0,283.4,2.34,302.0,99270.0
20180123:0100,8.37,86.75,0.0,-0.0,0.0,282.2,2.28,306.0,99260.0
20180123:0200,7.86,87.35,0.0,-0.0,0.0,281.8,2.21,311.0,99231.0
20180123:0300,7.53,87.05,0.0,-0.0,0.0,280.6,2.21,318.0,99260.0
20180123:0400,7.27,86.4,0.0,-0.0,0.0,280.6,2.14,323.0,99260.0
20180123:0500,7.28,84.45,0.0,-0.0,0.0,280.0,2.07,326.0,99279.0
20180123:0600,7.62,81.25,0.0,-0.0,0.0,280.0,1.93,326.0,99318.0
20180123:0700,8.01,74.75,0.0,-0.0,0.0,278.0,2.0,331.0,99357.0
20180123:0800,9.7,65.5,36.0,0.0,36.0,278.0,1.86,335.0,99415.0
20180123:0900,13.45,53.9,291.0,734.39,66.0,281.8,1.17,343.0,99493.0
20180123:1000,16.21,59.9,441.0,841.79,76.0,287.6,0.69,64.0,99531.0
20180123:1100,18.14,39.05,539.0,873.2,87.0,293.2,1.52,105.0,99512.0
20180123:1200,18.38,41.7,582.0,888.26,91.0,295.6,1.93,114.0,99473.0
20180123:1300,18.44,44.05,558.0,864.73,94.0,297.2,1.93,122.0,99434.0
20180123:1400,18.32,46.4,478.0,829.44,88.0,297.0,1.86,130.0,99386.0
20180123:1500,17.88,49.7,352.0,801.39,65.0,296.2,1.72,135.0,99396.0
20180123:1600,17.02,54.7,182.0,658.59,45.0,294.6,1.45,137.0,99405.0
20180123:1700,15.9,61.15,0.0,0.0,0.0,291.4,0.83,134.0,99454.0
20180123:1800,14.89,66.45,0.0,-0.0,0.0,287.2,0.41,67.0,99502.0
20180123:1900,13.65,80.0,0.0,-0.0,0.0,287.6,0.97,11.0,99522.0
20180123:2000,13.3,74.4,0.0,-0.0,0.0,283.8,1.1,3.0,99541.0
20180123:2100,12.93,73.05,0.0,-0.0,0.0,282.0,1.17,355.0,99551.0
20180123:2200,12.55,72.4,0.0,-0.0,0.0,280.2,1.31,355.0,99599.0
20180123:2300,12.36,71.0,0.0,-0.0,0.0,279.2,1.38,3.0,99609.0
20180124:0000,11.99,70.55,0.0,-0.0,0.0,278.6,1.52,11.0,99599.0
20180124:0100,11.25,70.85,0.0,-0.0,0.0,277.4,1.59,11.0,99570.0
20180124:0200,10.95,70.45,0.0,-0.0,0.0,275.0,1.59,4.0,99560.0
20180124:0300,10.48,70.9,0.0,-0.0,0.0,274.0,1.59,359.0,99560.0
20180124:0400,9.68,72.95,0.0,-0.0,0.0,272.2,1.66,356.0,99512.0
20180124:0500,8.89,74.95,0.0,-0.0,0.0,271.4,1.66,356.0,99522.0
20180124:0600,8.23,76.2,0.0,-0.0,0.0,270.4,1.72,359.0,99541.0
20180124:0700,8.48,71.85,0.0,-0.0,0.0,270.4,1.59,1.0,99560.0
20180124:0800,8.0,73.35,38.0,0.0,38.0,270.0,1.59,4.0,99599.0
20180124:0900,10.65,67.1,294.0,728.56,69.0,273.0,1.17,25.0,99648.0
20180124:1000,14.3,54.0,454.0,898.24,62.0,278.0,1.72,74.0,99677.0
20180124:1100,15.61,50.45,543.0,864.1,93.0,284.8,2.21,93.0,99657.0
20180124:1200,16.32,49.2,579.0,846.86,108.0,287.2,2.41,103.0,99580.0
20180124:1300,16.61,49.75,563.0,855.25,101.0,291.0,2.41,111.0,99483.0
20180124:1400,16.48,52.35,486.0,837.69,89.0,291.4,2.34,115.0,99405.0
20180124:1500,16.09,55.35,355.0,782.03,72.0,290.8,2.14,114.0,99376.0
20180124:1600,15.42,59.35,163.0,415.69,75.0,287.0,1.86,108.0,99347.0
20180124:1700,14.47,65.1,0.0,0.0,0.0,287.0,1.31,106.0,99386.0
20180124:1800,13.47,70.7,0.0,-0.0,0.0,281.6,0.76,74.0,99415.0
20180124:1900,11.86,84.9,0.0,-0.0,0.0,283.6,0.48,21.0,99425.0
20180124:2000,11.41,82.75,0.0,-0.0,0.0,279.2,0.83,352.0,99415.0
20180124:2100,11.06,80.85,0.0,-0.0,0.0,272.8,1.1,343.0,99396.0
20180124:2200,10.84,78.2,0.0,-0.0,0.0,271.0,1.17,336.0,99434.0
20180124:2300,10.61,75.75,0.0,-0.0,0.0,270.6,1.17,324.0,99376.0
20180125:0000,10.4,73.65,0.0,-0.0,0.0,272.6,1.1,309.0,99367.0
20180125:0100,10.43,71.65,0.0,-0.0,0.0,273.4,1.24,295.0,99318.0
20180125:0200,10.5,69.8,0.0,-0.0,0.0,277.2,1.38,286.0,99260.0
20180125:0300,9.96,70.2,0.0,-0.0,0.0,278.4,1.59,284.0,99231.0
20180125:0400,9.69,70.55,0.0,-0.0,0.0,298.6,1.66,278.0,99163.0
20180125:0500,9.92,69.3,0.0,-0.0,0.0,305.0,1.66,273.0,99153.0
20180125:0600,9.81,69.9,0.0,-0.0,0.0,306.0,1.79,267.0,99144.0
20180125:0700,9.12,77.15,0.0,-0.0,0.0,322.0,2.07,248.0,99153.0
20180125:0800,9.43,78.5,62.0,0.0,62.0,327.4,2.21,245.0,99163.0
20180125:0900,11.01,77.2,179.0,109.19,145.0,314.0,2.34,233.0,99153.0
20180125:1000,13.62,69.4,286.0,159.34,216.0,322.2,3.17,221.0,99163.0
20180125:1100,14.35,69.6,508.0,688.94,147.0,324.8,3.72,222.0,99105.0
20180125:1200,14.94,69.35,487.0,460.99,229.0,342.4,4.21,225.0,99018.0
20180125:1300,15.39,68.7,558.0,829.24,107.0,328.2,4.55,228.0,98882.0
20180125:1400,15.65,68.35,485.0,826.87,90.0,313.6,4.97,230.0,98766.0
20180125:1500,15.71,68.05,340.0,661.79,98.0,307.2,5.1,232.0,98727.0
20180125:1600,15.26,69.95,180.0,557.08,60.0,292.8,4.9,233.0,98630.0
20180125:1700,14.37,75.4,0.0,0.0,0.0,284.8,4.34,235.0,98621.0
20180125:1800,13.24,81.6,0.0,-0.0,0.0,279.8,4.34,240.0,98591.0
20180125:1900,12.86,83.25,0.0,-0.0,0.0,279.6,4.28,246.0,98591.0
20180125:2000,12.32,83.6,0.0,-0.0,0.0,282.2,4.07,250.0,98591.0
20180125:2100,11.74,83.7,0.0,-0.0,0.0,285.6,4.07,250.0,98572.0
20180125:2200,11.41,82.9,0.0,-0.0,0.0,300.4,4.34,249.0,98553.0
20180125:2300,10.93,83.45,0.0,-0.0,0.0,297.6,4.07,252.0,98524.0
20180126:0000,10.55,83.0,0.0,-0.0,0.0,299.2,3.38,256.0,98514.0
20180126:0100,10.96,80.7,0.0,-0.0,0.0,323.05,3.1,256.0,98495.0
20180126:0200,10.43,79.8,0.0,-0.0,0.0,302.4,3.38,263.0,98475.0
20180126:0300,9.69,79.15,0.0,-0.0,0.0,289.0,3.03,276.0,98485.0
20180126:0400,8.75,78.85,0.0,-0.0,0.0,271.4,2.76,285.0,98495.0
20180126:0500,7.98,78.4,0.0,-0.0,0.0,265.8,2.62,287.0,98495.0
20180126:0600,7.43,77.45,0.0,-0.0,0.0,262.2,2.48,288.0,98582.0
20180126:0700,7.25,71.3,0.0,-0.0,0.0,256.6,2.28,289.0,98659.0
20180126:0800,7.37,67.35,37.0,0.0,37.0,257.2,1.86,286.0,98756.0
20180126:0900,8.74,64.95,297.0,719.69,71.0,267.6,1.52,264.0,98872.0
20180126:1000,10.66,50.1,235.0,58.78,209.0,282.6,2.34,268.0,98969.0
20180126:1100,11.83,43.45,71.0,0.0,71.0,287.0,3.17,279.0,99037.0
20180126:1200,13.02,36.75,75.0,0.0,75.0,288.4,3.59,274.0,99047.0
20180126:1300,13.64,33.4,152.0,0.0,152.0,282.4,3.72,259.0,99008.0
20180126:1400,13.92,32.4,329.0,182.75,241.0,282.2,3.86,260.0,98950.0
20180126:1500,13.66,32.5,276.0,292.28,168.0,293.4,3.59,260.0,98940.0
20180126:1600,13.58,32.6,200.0,730.06,40.0,279.0,3.24,269.0,98921.0
20180126:1700,13.11,34.25,0.0,0.0,0.0,281.8,2.62,278.0,98969.0
20180126:1800,12.35,37.2,0.0,-0.0,0.0,264.6,2.48,300.0,99027.0
20180126:1900,10.75,49.75,0.0,-0.0,0.0,256.8,2.0,309.0,99095.0
